match_id,round_label,round_number,home_team,away_team,actual_score,home_goals,away_goals,home_code,away_code,is_completed,status,score_source,raw_text,source_url,source_title,scraped_at_utc
haiti-scotland,Round 1 11 - 18 Jun,1,Haiti,Scotland,0-1,0,1,HAI,SCO,True,completed,superbru_matches_tab_result_row,HAI 0 - 1 SCO 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
iran-new-zealand,Round 1 11 - 18 Jun,1,Iran,New Zealand,2-2,2,2,IRN,NZL,True,completed,superbru_matches_tab_result_row,IRN 2 - 2 NZL 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
iraq-norway,Round 1 11 - 18 Jun,1,Iraq,Norway,1-4,1,4,IRQ,NOR,True,completed,superbru_matches_tab_result_row,IRQ 1 - 4 NOR 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
ivory-coast-ecuador,Round 1 11 - 18 Jun,1,Ivory Coast,Ecuador,1-0,1,0,CIV,ECU,True,completed,superbru_matches_tab_result_row,CIV 1 - 0 ECU 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
mexico-south-africa,Round 1 11 - 18 Jun,1,Mexico,South Africa,2-0,2,0,MEX,RSA,True,completed,superbru_matches_tab_result_row,MEX 2 - 0 RSA 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
netherlands-japan,Round 1 11 - 18 Jun,1,Netherlands,Japan,2-2,2,2,NED,JPN,True,completed,superbru_matches_tab_result_row,NED 2 - 2 JPN 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
portugal-dr-congo,Round 1 11 - 18 Jun,1,Portugal,DR Congo,1-1,1,1,POR,DRC,True,completed,superbru_matches_tab_result_row,POR 1 - 1 DRC 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
qatar-switzerland,Round 1 11 - 18 Jun,1,Qatar,Switzerland,1-1,1,1,QAT,SUI,True,completed,superbru_matches_tab_result_row,QAT 1 - 1 SUI 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
saudi-arabia-uruguay,Round 1 11 - 18 Jun,1,Saudi Arabia,Uruguay,1-1,1,1,KSA,URU,True,completed,superbru_matches_tab_result_row,KSA 1 - 1 URU 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
south-korea-czech-republic,Round 1 11 - 18 Jun,1,South Korea,Czech Republic,2-1,2,1,KOR,CZE,True,completed,superbru_matches_tab_result_row,KOR 2 - 1 CZE 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
spain-cape-verde,Round 1 11 - 18 Jun,1,Spain,Cape Verde,0-0,0,0,ESP,CPV,True,completed,superbru_matches_tab_result_row,ESP 0 - 0 CPV 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
sweden-tunisia,Round 1 11 - 18 Jun,1,Sweden,Tunisia,5-1,5,1,SWE,TUN,True,completed,superbru_matches_tab_result_row,SWE 5 - 1 TUN 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
united-states-paraguay,Round 1 11 - 18 Jun,1,United States,Paraguay,4-1,4,1,USA,PAR,True,completed,superbru_matches_tab_result_row,USA 4 - 1 PAR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
uzbekistan-colombia,Round 1 11 - 18 Jun,1,Uzbekistan,Colombia,1-3,1,3,UZB,COL,True,completed,superbru_matches_tab_result_row,UZB 1 - 3 COL 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:28.854Z
belgium-iran,Round 2 18 - 24 Jun,2,Belgium,Iran,0-0,0,0,BEL,IRN,True,completed,superbru_matches_tab_result_row,BEL 0 - 0 IRN 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
brazil-haiti,Round 2 18 - 24 Jun,2,Brazil,Haiti,3-0,3,0,BRA,HAI,True,completed,superbru_matches_tab_result_row,BRA 3 - 0 HAI 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
canada-qatar,Round 2 18 - 24 Jun,2,Canada,Qatar,6-0,6,0,CAN,QAT,True,completed,superbru_matches_tab_result_row,CAN 6 - 0 QAT 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
czech-republic-south-africa,Round 2 18 - 24 Jun,2,Czech Republic,South Africa,1-1,1,1,CZE,RSA,True,completed,superbru_matches_tab_result_row,CZE 1 - 1 RSA 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
ecuador-curacao,Round 2 18 - 24 Jun,2,Ecuador,Curacao,0-0,0,0,ECU,CUR,True,completed,superbru_matches_tab_result_row,ECU 0 - 0 CUR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
germany-ivory-coast,Round 2 18 - 24 Jun,2,Germany,Ivory Coast,2-1,2,1,GER,CIV,True,completed,superbru_matches_tab_result_row,GER 2 - 1 CIV 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
mexico-south-korea,Round 2 18 - 24 Jun,2,Mexico,South Korea,1-0,1,0,MEX,KOR,True,completed,superbru_matches_tab_result_row,MEX 1 - 0 KOR 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
netherlands-sweden,Round 2 18 - 24 Jun,2,Netherlands,Sweden,5-1,5,1,NED,SWE,True,completed,superbru_matches_tab_result_row,NED 5 - 1 SWE 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
new-zealand-egypt,Round 2 18 - 24 Jun,2,New Zealand,Egypt,1-3,1,3,NZL,EGY,True,completed,superbru_matches_tab_result_row,NZL 1 - 3 EGY 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
scotland-morocco,Round 2 18 - 24 Jun,2,Scotland,Morocco,0-1,0,1,SCO,MOR,True,completed,superbru_matches_tab_result_row,SCO 0 - 1 MOR 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
spain-saudi-arabia,Round 2 18 - 24 Jun,2,Spain,Saudi Arabia,4-0,4,0,ESP,KSA,True,completed,superbru_matches_tab_result_row,ESP 4 - 0 KSA 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
switzerland-bosnia-and-herzegovina,Round 2 18 - 24 Jun,2,Switzerland,Bosnia & Herzegovina,4-1,4,1,SUI,BHI,True,completed,superbru_matches_tab_result_row,SUI 4 - 1 BHI 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
tunisia-japan,Round 2 18 - 24 Jun,2,Tunisia,Japan,0-4,0,4,TUN,JPN,True,completed,superbru_matches_tab_result_row,TUN 0 - 4 JPN 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
turkey-paraguay,Round 2 18 - 24 Jun,2,Turkey,Paraguay,0-1,0,1,TUR,PAR,True,completed,superbru_matches_tab_result_row,TUR 0 - 1 PAR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
united-states-australia,Round 2 18 - 24 Jun,2,United States,Australia,2-0,2,0,USA,AUS,True,completed,superbru_matches_tab_result_row,USA 2 - 0 AUS 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
uruguay-cape-verde,Round 2 18 - 24 Jun,2,Uruguay,Cape Verde,2-2,2,2,URU,CPV,True,completed,superbru_matches_tab_result_row,URU 2 - 2 CPV 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026,2026-06-22T07:00:52.224Z
