match_id,round_label,home_team,away_team,actual_score,home_goals,away_goals,home_code,away_code,is_completed,status,score_source,raw_text,source_url,source_title
spain-cape-verde,Round 1 11 - 18 Jun,Spain,Cape Verde,0-0,0,0,ESP,CPV,True,completed,superbru_matches_tab_result_row,ESP 0 - 0 CPV 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
sweden-tunisia,Round 1 11 - 18 Jun,Sweden,Tunisia,5-1,5,1,SWE,TUN,True,completed,superbru_matches_tab_result_row,SWE 5 - 1 TUN 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
united-states-paraguay,Round 1 11 - 18 Jun,United States,Paraguay,4-1,4,1,USA,PAR,True,completed,superbru_matches_tab_result_row,USA 4 - 1 PAR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
uzbekistan-colombia,Round 1 11 - 18 Jun,Uzbekistan,Colombia,1-3,1,3,UZB,COL,True,completed,superbru_matches_tab_result_row,UZB 1 - 3 COL 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
brazil-haiti,current,Brazil,Haiti,3-0,3,0,BRA,HAI,True,completed,superbru_matches_tab_result_row,BRA 3 - 0 HAI 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
canada-qatar,current,Canada,Qatar,6-0,6,0,CAN,QAT,True,completed,superbru_matches_tab_result_row,CAN 6 - 0 QAT 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
czech-republic-south-africa,current,Czech Republic,South Africa,1-1,1,1,CZE,RSA,True,completed,superbru_matches_tab_result_row,CZE 1 - 1 RSA 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
mexico-south-korea,current,Mexico,South Korea,1-0,1,0,MEX,KOR,True,completed,superbru_matches_tab_result_row,MEX 1 - 0 KOR 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
scotland-morocco,current,Scotland,Morocco,0-1,0,1,SCO,MOR,True,completed,superbru_matches_tab_result_row,SCO 0 - 1 MOR 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
switzerland-bosnia-and-herzegovina,current,Switzerland,Bosnia & Herzegovina,4-1,4,1,SUI,BHI,True,completed,superbru_matches_tab_result_row,SUI 4 - 1 BHI 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
turkey-paraguay,current,Turkey,Paraguay,0-1,0,1,TUR,PAR,True,completed,superbru_matches_tab_result_row,TUR 0 - 1 PAR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
united-states-australia,current,United States,Australia,2-0,2,0,USA,AUS,True,completed,superbru_matches_tab_result_row,USA 2 - 0 AUS 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,Superbru - Free Football World Cup score predictor game - Moore Infinity FIFA WC 2026
