scanned_at_utc,event_slug,event_title,neg_risk,leg_count,sum_ask,sum_bid,fee_charge_buy_basket,fee_charge_sell_basket,net_buy_all_yes_per_basket,net_sell_all_yes_per_basket,flagged_side,executable_basket_usd,depth_weighted_net,book_fetch_ok,fee_type,fees_enabled,volume_24h_usd
2026-07-09T15:14:27Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.977,,0.0,,0.023,,buy_all_yes,,,,,False,36911.5
2026-07-09T15:30:11Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.982,,0.0,,0.018,,buy_all_yes,,,,,False,36916.89
2026-07-09T15:45:34Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.98,,0.0,,0.02,,buy_all_yes,,,,,False,36965.35
2026-07-09T15:45:35Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.979,,0.0,,0.021,,buy_all_yes,,,,,False,36905.65
2026-07-09T16:01:00Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.971,,0.0,,0.029,,buy_all_yes,,,,,False,40810.17
2026-07-09T16:16:21Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.968,,0.0,,0.032,,buy_all_yes,,,,,False,40729.37
2026-07-09T16:31:43Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.968,,0.0,,0.032,,buy_all_yes,,,,,False,39761.29
2026-07-09T16:46:58Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.979,,0.0,,0.021,,buy_all_yes,,,,,False,40036.2
2026-07-09T17:02:17Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.979,,0.0,,0.021,,buy_all_yes,,,,,False,40087.74
2026-07-09T17:17:41Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.979,,0.0,,0.021,,buy_all_yes,,,,,False,40087.74
2026-07-09T17:33:03Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.962,,0.0,,0.038,,buy_all_yes,,,,,False,40082.74
2026-07-09T17:48:32Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.969,,0.0,,0.031,,buy_all_yes,,,,,False,40033.36
2026-07-09T18:03:55Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.989,,0.0,,0.011,,buy_all_yes,,,,,False,40795.74
2026-07-09T18:19:04Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.983,,0.0,,0.017,,buy_all_yes,,,,,False,39596.99
2026-07-09T18:34:36Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.98,,0.0,,0.02,,buy_all_yes,,,,,False,39715.23
2026-07-09T18:49:55Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.97,,0.0,,0.03,,buy_all_yes,,,,,False,40668.57
2026-07-09T19:28:56Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.956,,0.0,,0.044,,buy_all_yes,,,,,False,40164.88
2026-07-09T19:44:18Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.959,,0.0,,0.041,,buy_all_yes,,,,,False,41420.62
2026-07-09T19:59:39Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.959,,0.0,,0.041,,buy_all_yes,,,,,False,41420.62
2026-07-09T20:14:58Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.959,,0.0,,0.041,,buy_all_yes,,,,,False,41701.51
2026-07-09T20:30:13Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.959,,0.0,,0.041,,buy_all_yes,,,,,False,41828.41
2026-07-09T20:45:26Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.959,,0.0,,0.041,,buy_all_yes,,,,,False,41828.41
2026-07-09T21:00:43Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.969,,0.0,,0.031,,buy_all_yes,,,,,False,41866.41
2026-07-09T21:15:58Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.959,,0.0,,0.041,,buy_all_yes,,,,,False,40148.76
2026-07-09T21:15:58Z,highest-temperature-in-chicago-on-july-9-2026,Highest temperature in Chicago on July 9?,True,11,0.976,,0.016923,,0.007077,,buy_all_yes,,,,weather_fees,True,37047.47
2026-07-09T21:31:36Z,highest-temperature-in-los-angeles-on-july-9-2026,Highest temperature in Los Angeles on July 9?,True,11,0.963,,0.00555,,0.03145,,buy_all_yes,,,,weather_fees,True,73226.46
2026-07-09T21:31:36Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.959,,0.0,,0.041,,buy_all_yes,,,,,False,40117.51
2026-07-09T21:47:06Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.969,,0.0,,0.031,,buy_all_yes,,,,,False,40117.51
2026-07-09T22:02:35Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.96,,0.0,,0.04,,buy_all_yes,,,,,False,40117.51
2026-07-09T22:02:35Z,highest-temperature-in-dallas-on-july-9-2026,Highest temperature in Dallas on July 9?,True,11,0.983,,0.009385,,0.007615,,buy_all_yes,,,,weather_fees,True,34767.6
2026-07-09T22:18:02Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.971,,0.0,,0.029,,buy_all_yes,,,,,False,40357.51
2026-07-09T22:33:30Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.955,,0.0,,0.045,,buy_all_yes,,,,,False,41921.95
2026-07-09T22:48:51Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.942,,0.0,,0.058,,buy_all_yes,,,,,False,40524.97
2026-07-09T23:04:01Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.931,0.755,0.0,0.0,0.069,-0.245,buy_all_yes,,,,,False,42454.58
2026-07-09T23:19:33Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.946,0.755,0.0,0.0,0.054,-0.245,buy_all_yes,,,,,False,44662.5
2026-07-09T23:35:13Z,highest-temperature-in-seoul-on-july-10-2026,Highest temperature in Seoul on July 10?,True,11,0.95,,0.045839,,0.004161,,buy_all_yes,,,,weather_fees,True,53351.86
2026-07-09T23:35:13Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.982,0.723,0.0,0.0,0.018,-0.277,buy_all_yes,,,,,False,46858.95
2026-07-09T23:50:46Z,highest-temperature-in-wellington-on-july-10-2026,Highest temperature in Wellington on July 10?,True,11,0.988,,0.004633,,0.007367,,buy_all_yes,,,,weather_fees,True,53929.29
2026-07-09T23:50:46Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.989,0.746,0.0,0.0,0.011,-0.254,buy_all_yes,,,,,False,43847.46
2026-07-10T00:06:10Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.987,0.741,0.0,0.0,0.013,-0.259,buy_all_yes,,,,,False,43923.95
2026-07-10T00:06:10Z,highest-temperature-in-taipei-on-july-10-2026,Highest temperature in Taipei on July 10?,True,11,0.908,,0.045915,,0.046085,,buy_all_yes,,,,weather_fees,True,37746.4
2026-07-10T00:06:10Z,lowest-temperature-in-hong-kong-on-july-10-2026,Lowest temperature in Hong Kong on July 10?,True,11,0.852,,0.028019,,0.119981,,buy_all_yes,,,,weather_fees,True,32619.39
2026-07-10T00:21:27Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.987,0.746,0.0,0.0,0.013,-0.254,buy_all_yes,,,,,False,43157.48
2026-07-10T00:36:58Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.981,0.743,0.0,0.0,0.019,-0.257,buy_all_yes,,,,,False,42991.92
2026-07-10T00:52:24Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.978,0.74,0.0,0.0,0.022,-0.26,buy_all_yes,,,,,False,42876.92
2026-07-10T01:27:46Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.972,0.734,0.0,0.0,0.028,-0.266,buy_all_yes,,,,,False,42913.28
2026-07-10T01:43:06Z,highest-temperature-in-taipei-on-july-10-2026,Highest temperature in Taipei on July 10?,True,11,0.813,,0.030052,,0.156948,,buy_all_yes,,,,weather_fees,True,62381.7
2026-07-10T01:43:06Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.971,0.739,0.0,0.0,0.029,-0.261,buy_all_yes,,,,,False,39922.38
2026-07-10T01:58:27Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.972,0.741,0.0,0.0,0.028,-0.259,buy_all_yes,,,,,False,39222.39
2026-07-10T02:13:40Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.972,0.745,0.0,0.0,0.028,-0.255,buy_all_yes,,,,,False,39095.9
2026-07-10T02:28:58Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.972,0.742,0.0,0.0,0.028,-0.258,buy_all_yes,,,,,False,39045.9
2026-07-10T02:28:59Z,lowest-temperature-in-seoul-on-july-10-2026,Lowest temperature in Seoul on July 10?,True,11,0.946,,0.027602,,0.026398,,buy_all_yes,,,,weather_fees,True,22281.1
2026-07-10T02:44:18Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.962,0.744,0.0,0.0,0.038,-0.256,buy_all_yes,,,,,False,39270.9
2026-07-10T02:44:20Z,lowest-temperature-in-seoul-on-july-10-2026,Lowest temperature in Seoul on July 10?,True,11,0.947,,0.027669,,0.025331,,buy_all_yes,,,,weather_fees,True,22552.79
2026-07-10T02:59:49Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.962,0.745,0.0,0.0,0.038,-0.255,buy_all_yes,,,,,False,39270.9
2026-07-10T03:15:07Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.962,0.75,0.0,0.0,0.038,-0.25,buy_all_yes,,,,,False,39270.9
2026-07-10T03:30:48Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.962,0.747,0.0,0.0,0.038,-0.253,buy_all_yes,,,,,False,37202.52
2026-07-10T03:30:48Z,how-many-ships-transit-the-strait-of-hormuz-week-of-july-6-20260703173313706,How many ships transit the Strait of Hormuz week of July 6?,True,5,0.989,0.874,0.0,0.0,0.011,-0.126,buy_all_yes,,,,,False,35734.8
2026-07-10T03:46:00Z,highest-temperature-in-taipei-on-july-10-2026,Highest temperature in Taipei on July 10?,True,11,0.909,,0.019234,,0.071766,,buy_all_yes,,,,weather_fees,True,69868.82
2026-07-10T03:46:00Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.962,0.748,0.0,0.0,0.038,-0.252,buy_all_yes,,,,,False,37202.52
2026-07-10T04:01:11Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.962,0.745,0.0,0.0,0.038,-0.255,buy_all_yes,,,,,False,37033.52
2026-07-10T04:01:11Z,highest-temperature-in-kuala-lumpur-on-july-10-2026,Highest temperature in Kuala Lumpur on July 10?,True,11,0.955,,0.038607,,0.006393,,buy_all_yes,,,,weather_fees,True,30529.85
2026-07-10T04:16:44Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.961,0.74,0.0,0.0,0.039,-0.26,buy_all_yes,,,,,False,38175.27
2026-07-10T04:16:46Z,highest-temperature-in-busan-on-july-10-2026,Highest temperature in Busan on July 10?,True,11,0.964,,0.021543,,0.014457,,buy_all_yes,,,,weather_fees,True,25120.09
2026-07-10T04:32:05Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.96,0.744,0.0,0.0,0.04,-0.256,buy_all_yes,,,,,False,38174.37
2026-07-10T04:47:34Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.95,0.75,0.0,0.0,0.05,-0.25,buy_all_yes,,,,,False,38213.27
2026-07-10T05:03:03Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.95,0.748,0.0,0.0,0.05,-0.252,buy_all_yes,,,,,False,37158.04
2026-07-10T05:18:31Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.959,0.749,0.0,0.0,0.041,-0.251,buy_all_yes,,,,,False,37158.04
2026-07-10T05:18:32Z,highest-temperature-in-los-angeles-on-july-10-2026,Highest temperature in Los Angeles on July 10?,True,11,0.955,,0.038624,,0.006376,,buy_all_yes,,,,weather_fees,True,23596.38
2026-07-10T05:34:13Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.96,0.752,0.0,0.0,0.04,-0.248,buy_all_yes,,,,,False,37158.04
2026-07-10T05:49:51Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.963,0.767,0.0,0.0,0.037,-0.233,buy_all_yes,,,,,False,37458.66
2026-07-10T05:49:52Z,lowest-temperature-in-nyc-on-july-10-2026,Lowest temperature in NYC on July 10?,True,11,0.91,,0.038333,,0.051667,,buy_all_yes,,,,weather_fees,True,13588.25
2026-07-10T05:49:52Z,lowest-temperature-in-london-on-july-10-2026,Lowest temperature in London on July 10?,True,11,0.974,,0.011332,,0.014668,,buy_all_yes,,,,weather_fees,True,13569.26
2026-07-10T06:05:09Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.952,0.763,0.0,0.0,0.048,-0.237,buy_all_yes,,,,,False,37531.38
2026-07-10T06:20:37Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.952,0.765,0.0,0.0,0.048,-0.235,buy_all_yes,,,,,False,37560.88
2026-07-10T06:36:01Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.952,0.765,0.0,0.0,0.048,-0.235,buy_all_yes,,,,,False,37560.88
2026-07-10T06:51:18Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.952,0.763,0.0,0.0,0.048,-0.237,buy_all_yes,,,,,False,37620.88
2026-07-10T07:34:54Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.961,0.766,0.0,0.0,0.039,-0.234,buy_all_yes,,,,,False,37316.01
2026-07-10T07:50:14Z,highest-temperature-in-qingdao-on-july-10-2026,Highest temperature in Qingdao on July 10?,True,11,0.972,,0.017638,,0.010362,,buy_all_yes,,,,weather_fees,True,42824.9
2026-07-10T07:50:14Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.962,0.766,0.0,0.0,0.038,-0.234,buy_all_yes,,,,,False,37316.01
2026-07-10T08:08:00Z,highest-temperature-in-chongqing-on-july-10-2026,Highest temperature in Chongqing on July 10?,True,11,0.911,,0.028638,,0.060362,,buy_all_yes,0.0,0.0,True,weather_fees,True,48955.36
2026-07-10T08:08:05Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.961,0.767,0.0,0.0,0.039,-0.233,buy_all_yes,105.96,0.006688,True,,False,37332.5
2026-07-10T08:08:08Z,highest-temperature-in-wuhan-on-july-11-2026,Highest temperature in Wuhan on July 11?,True,11,0.948,,0.048287,,0.003713,,buy_all_yes,0.0,0.0,True,weather_fees,True,32974.05
2026-07-10T08:24:57Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.969,0.764,0.0,0.0,0.031,-0.236,buy_all_yes,105.76,0.0085,True,,False,36303.25
2026-07-10T08:40:30Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.96,0.763,0.0,0.0,0.04,-0.237,buy_all_yes,105.77,0.008438,True,,False,36303.25
2026-07-10T08:40:32Z,highest-temperature-in-wuhan-on-july-11-2026,Highest temperature in Wuhan on July 11?,True,11,0.935,,0.048052,,0.016948,,buy_all_yes,32.93,0.003147,True,weather_fees,True,35548.49
2026-07-10T08:56:02Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.97,0.766,0.0,0.0,0.03,-0.234,buy_all_yes,99.83,0.008977,True,,False,36304.45
2026-07-10T08:56:05Z,highest-temperature-in-wuhan-on-july-11-2026,Highest temperature in Wuhan on July 11?,True,11,0.945,,0.048647,,0.006353,,buy_all_yes,0.0,0.0,True,weather_fees,True,35494.19
2026-07-10T09:11:50Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.982,0.761,0.0,0.0,0.018,-0.239,buy_all_yes,100.06,0.006652,True,,False,37204.91
2026-07-10T09:27:31Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.969,0.764,0.0,0.0,0.031,-0.236,buy_all_yes,124.43,0.00459,True,,False,37382.93
2026-07-10T10:46:32Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.979,0.746,0.0,0.0,0.021,-0.254,buy_all_yes,29.79,0.007125,True,,False,51666.18
2026-07-10T11:02:35Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.979,0.743,0.0,0.0,0.021,-0.257,buy_all_yes,29.79,0.007125,True,,False,51666.18
2026-07-10T11:02:38Z,highest-temperature-in-cape-town-on-july-10-2026,Highest temperature in Cape Town on July 10?,True,11,0.909,,0.016214,,0.074786,,buy_all_yes,0.0,0.0,True,weather_fees,True,22892.44
2026-07-10T11:18:48Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.979,0.745,0.0,0.0,0.021,-0.255,buy_all_yes,40.81,0.000721,True,,False,51663.78
2026-07-10T11:50:45Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.996,0.769,0.0,0.0,0.004,-0.231,buy_all_yes,25.91,0.001837,True,,False,54884.67
2026-07-10T12:06:57Z,lowest-temperature-in-london-on-july-10-2026,Lowest temperature in London on July 10?,True,11,0.941,,0.03795,,0.02105,,buy_all_yes,0.16,0.000854,True,weather_fees,True,20479.84
2026-07-10T12:22:52Z,lowest-temperature-in-london-on-july-10-2026,Lowest temperature in London on July 10?,True,11,0.951,,0.037494,,0.011506,,buy_all_yes,60.99,0.00277,True,weather_fees,True,20484.84
2026-07-10T12:38:53Z,highest-temperature-in-amsterdam-on-july-10-2026,Highest temperature in Amsterdam on July 10?,True,11,0.93,,0.041321,,0.028679,,buy_all_yes,0.0,0.0,True,weather_fees,True,28356.82
2026-07-10T12:38:56Z,lowest-temperature-in-london-on-july-10-2026,Lowest temperature in London on July 10?,True,11,0.951,,0.037494,,0.011506,,buy_all_yes,5.1,0.011506,True,weather_fees,True,20498.41
2026-07-10T14:02:35Z,highest-temperature-in-los-angeles-on-july-11-2026,Highest temperature in Los Angeles on July 11?,True,11,0.951,,0.042806,,0.006194,,buy_all_yes,23.74,0.010718,True,weather_fees,True,32130.9
2026-07-10T14:34:26Z,highest-temperature-in-los-angeles-on-july-11-2026,Highest temperature in Los Angeles on July 11?,True,11,0.947,,0.044848,,0.008152,,buy_all_yes,0.0,0.0,True,weather_fees,True,34260.21
2026-07-10T15:53:55Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.979,0.879,0.0,0.0,0.021,-0.121,buy_all_yes,179.69,0.002172,True,,False,74954.12
2026-07-10T16:09:37Z,highest-temperature-in-milan-on-july-11-2026,Highest temperature in Milan on July 11?,True,11,0.932,,0.049641,,0.018359,,buy_all_yes,0.0,0.0,True,weather_fees,True,23642.63
2026-07-10T16:25:37Z,where-will-the-next-next-round-of-us-iran-peace-talks-beptptpt-20260623023740663,Where will the next next round of US-Iran peace talks be...?,True,19,0.939,0.726,0.0,0.0,0.061,-0.274,buy_all_yes,271.04,0.000892,True,,False,78824.89
