kickoff,home,away,mkt_pick,mkt_p,mdl_pick,mdl_p,mkt_on_mdlpick,opportunity,tier,elo_diff
06-21 04:00Z,Tunisia,Japan,Japan,0.63,Japan,0.66,0.63,0.03,CONSENSUS,-277
06-25 01:00Z,Czech Republic,Mexico,Mexico,0.52,Mexico,0.55,0.52,0.028,CONSENSUS,-192
06-25 01:00Z,South Africa,South Korea,South Korea,0.59,South Korea,0.61,0.59,0.025,CONSENSUS,-241
06-26 19:00Z,Norway,France,France,0.52,France,0.54,0.52,0.024,CONSENSUS,-185
06-27 00:00Z,Uruguay,Spain,Spain,0.58,Spain,0.59,0.58,0.016,CONSENSUS,-226
06-21 16:00Z,Spain,Saudi Arabia,Spain,0.87,Spain,0.88,0.87,0.013,CONSENSUS,465
06-24 22:00Z,Morocco,Haiti,Morocco,0.73,Morocco,0.75,0.73,0.013,CONSENSUS,290
06-20 20:00Z,Germany,Ivory Coast,Germany,0.62,Germany,0.61,0.62,-0.003,CONSENSUS,175
06-24 19:00Z,Switzerland,Canada,Switzerland,0.45,Switzerland,0.44,0.45,-0.01,CONSENSUS,38
06-17 17:00Z,Portugal,DR Congo,Portugal,0.75,Portugal,0.73,0.75,-0.017,CONSENSUS,274
06-16 19:00Z,France,Senegal,France,0.65,France,0.63,0.65,-0.018,CONSENSUS,190
06-17 20:00Z,England,Croatia,England,0.56,England,0.53,0.56,-0.025,CONSENSUS,112
06-20 03:00Z,Turkey,Paraguay,Turkey,0.47,Turkey,0.44,0.47,-0.027,CONSENSUS,42
06-28 02:00Z,Jordan,Argentina,Argentina,0.79,Argentina,0.75,0.79,-0.035,CONSENSUS,-365
06-25 23:00Z,Tunisia,Netherlands,Netherlands,0.7,Netherlands,0.66,0.7,-0.042,CONSENSUS,-277
06-18 16:00Z,Czech Republic,South Africa,Czech Republic,0.54,Czech Republic,0.49,0.54,-0.047,CONSENSUS,82
06-23 00:00Z,Norway,Senegal,Norway,0.45,Norway,0.39,0.45,-0.053,CONSENSUS,5
06-19 01:00Z,Mexico,South Korea,Mexico,0.48,Mexico,0.43,0.48,-0.054,CONSENSUS,33
06-19 22:00Z,Scotland,Morocco,Morocco,0.55,Morocco,0.49,0.55,-0.056,CONSENSUS,-146
06-18 22:00Z,Canada,Qatar,Canada,0.75,Canada,0.69,0.75,-0.057,CONSENSUS,242
06-22 21:00Z,France,Iraq,France,0.86,France,0.79,0.86,-0.068,CONSENSUS,335
06-21 00:00Z,Ecuador,Curaçao,Ecuador,0.87,Ecuador,0.8,0.87,-0.069,CONSENSUS,346
06-20 01:00Z,Brazil,Haiti,Brazil,0.87,Brazil,0.8,0.87,-0.071,CONSENSUS,344
06-26 19:00Z,Senegal,Iraq,Senegal,0.67,Senegal,0.58,0.67,-0.095,CONSENSUS,145
06-24 22:00Z,Scotland,Brazil,Brazil,0.66,Brazil,0.56,0.66,-0.099,CONSENSUS,-200
06-23 17:00Z,Portugal,Uzbekistan,Portugal,0.77,Portugal,0.63,0.77,-0.131,CONSENSUS,191
06-18 02:00Z,Uzbekistan,Colombia,Colombia,0.69,Colombia,0.55,0.69,-0.141,CONSENSUS,-191
06-27 21:00Z,Panama,England,England,0.74,England,0.58,0.74,-0.157,CONSENSUS,-217
06-27 03:00Z,New Zealand,Belgium,Belgium,0.73,Belgium,0.56,0.73,-0.167,CONSENSUS,-199
06-22 01:00Z,New Zealand,Egypt,Egypt,0.55,Egypt,0.38,0.55,-0.173,CONSENSUS,-58
06-23 23:00Z,Panama,Croatia,Croatia,0.61,Croatia,0.44,0.61,-0.174,CONSENSUS,-106
06-25 20:00Z,Ecuador,Germany,Germany,0.55,Germany,0.36,0.55,-0.185,CONSENSUS,-45
06-23 03:00Z,Jordan,Algeria,Algeria,0.64,Algeria,0.43,0.64,-0.207,CONSENSUS,-99
06-24 19:00Z,Bosnia & Herzegovina,Qatar,Bosnia & Herzegovina,0.61,Bosnia & Herzegovina,0.39,0.61,-0.216,CONSENSUS,4
06-17 04:00Z,Austria,Jordan,Austria,0.72,Austria,0.49,0.72,-0.231,CONSENSUS,76
06-25 20:00Z,Curaçao,Ivory Coast,Ivory Coast,0.81,Ivory Coast,0.58,0.81,-0.231,CONSENSUS,-216
06-21 19:00Z,Belgium,Iran,Belgium,0.68,Belgium,0.44,0.68,-0.242,CONSENSUS,44
06-16 22:00Z,Iraq,Norway,Norway,0.81,Norway,0.5,0.81,-0.313,CONSENSUS,-150
