source_date,source,screenshot_file,home,away,home_name,away_name,actual_score,winner_home_pct,winner_draw_pct,winner_away_pct,modal_score,home_goals,away_goals,probability_pct,probability_raw,cell_type
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,3,0,4.7,4.7,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,3,1,5.0,5.0,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,3,2,3.0,3.0,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,3,3,1.2,1.2,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,>3,0-3,9.9,9.9,home_gt3_bucket
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,0-3,>3,3.7,3.7,away_gt3_bucket
2026-06-20,Oddspedia SmartBet screenshot,image(51).png,USA,AUS,United States,Australia,2-0,49,24,26,1-1,>3,>3,0.1,0.1,both_gt3_bucket
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,0,0,6.5,6.5,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,0,1,10.3,10.3,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,0,2,8.2,8.2,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,0,3,4.3,4.3,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,1,0,7.4,7.4,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,1,1,11.8,11.8,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,1,2,9.4,9.4,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,1,3,5.0,5.0,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,2,0,4.3,4.3,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,2,1,6.8,6.8,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,2,2,5.4,5.4,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,2,3,2.8,2.8,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,3,0,1.6,1.6,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,3,1,2.6,2.6,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,3,2,2.1,2.1,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,3,3,1.1,1.1,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,>3,0-3,2.8,2.8,home_gt3_bucket
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,0-3,>3,7.5,7.5,away_gt3_bucket
2026-06-20,Oddspedia SmartBet screenshot,image(52).png,SCO,MAR,Scotland,Morocco,0-1,28,25,47,1-1,>3,>3,0.1,0.1,both_gt3_bucket
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,0,0,9.0,9.0,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,0,1,6.3,6.3,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,0,2,2.6,2.6,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,0,3,0.8,0.8,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,1,0,15.0,15.0,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,1,1,10.5,10.5,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,1,2,4.3,4.3,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,1,3,1.3,1.3,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,2,0,12.5,12.5,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,2,1,8.7,8.7,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,2,2,3.5,3.5,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,2,3,1.1,1.1,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,3,0,7.0,7.0,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,3,1,4.8,4.8,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,3,2,2.0,2.0,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,3,3,0.6,0.6,exact_0_to_3_grid
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,>3,0-3,8.7,8.7,home_gt3_bucket
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,0-3,>3,1.2,1.2,away_gt3_bucket
2026-06-20,Oddspedia SmartBet screenshot,image(53).png,BRA,HAI,Brazil,Haiti,3-0,59,24,18,1-0,>3,>3,,<0.1,both_gt3_bucket
