match_id,round_label,round_number,home_team,away_team,actual_score,submitted_points,submitted_result_class,raw_text,source_url,scraped_at_utc
ecuador-curacao,Round 2 18 - 24 Jun,2,Ecuador,Curacao,0-0,0.0,WRONG,ECU 0 - 0 CUR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
germany-ivory-coast,Round 2 18 - 24 Jun,2,Germany,Ivory Coast,2-1,1.5,CLOSE,GER 2 - 1 CIV 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
mexico-south-korea,Round 2 18 - 24 Jun,2,Mexico,South Korea,1-0,3.0,EXACT,MEX 1 - 0 KOR 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
netherlands-sweden,Round 2 18 - 24 Jun,2,Netherlands,Sweden,5-1,1.0,RESULT,NED 5 - 1 SWE 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
new-zealand-egypt,Round 2 18 - 24 Jun,2,New Zealand,Egypt,1-3,1.5,CLOSE,NZL 1 - 3 EGY 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
scotland-morocco,Round 2 18 - 24 Jun,2,Scotland,Morocco,0-1,1.5,CLOSE,SCO 0 - 1 MOR 1.5 CLOSE,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
spain-saudi-arabia,Round 2 18 - 24 Jun,2,Spain,Saudi Arabia,4-0,1.0,RESULT,ESP 4 - 0 KSA 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
switzerland-bosnia-and-herzegovina,Round 2 18 - 24 Jun,2,Switzerland,Bosnia & Herzegovina,4-1,1.0,RESULT,SUI 4 - 1 BHI 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
tunisia-japan,Round 2 18 - 24 Jun,2,Tunisia,Japan,0-4,1.0,RESULT,TUN 0 - 4 JPN 1 RESULT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
turkey-paraguay,Round 2 18 - 24 Jun,2,Turkey,Paraguay,0-1,0.0,WRONG,TUR 0 - 1 PAR 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
united-states-australia,Round 2 18 - 24 Jun,2,United States,Australia,2-0,3.0,EXACT,USA 2 - 0 AUS 3 EXACT,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
uruguay-cape-verde,Round 2 18 - 24 Jun,2,Uruguay,Cape Verde,2-2,0.0,WRONG,URU 2 - 2 CPV 0 WRONG,https://www.superbru.com/worldcup_predictor/pool.php?p=13236623#tab=matches&subtab=game32,2026-06-22T07:00:52.224Z
