generated_at_utc,match_key,commence_time,home_team,away_team,trusted_results_csv,result_score_source,actual_scoreline,actual_outcome,policy,policy_pick,points,points_band,pre_match_snapshot_id,pre_match_snapshot_created_at_utc,market_favourite,market_depth_class,raw_ev_pick,naive_favourite_low_score_pick,oddspedia_modal_pick,oddspedia_ev_pick,oddspedia_review_flag,oddspedia_review_level,oddspedia_review_followed_by_policy,daily_robust_pick,final_leader_defence_pick
2026-06-21T08:20:48.481885+00:00,switzerland-bosniaandherzegovina,,Switzerland,Bosnia & Herzegovina,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,4-1,home,oddspedia_ev,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,switzerland-bosniaandherzegovina,,Switzerland,Bosnia & Herzegovina,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,4-1,home,daily_robust_card,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,switzerland-bosniaandherzegovina,,Switzerland,Bosnia & Herzegovina,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,4-1,home,final_leader_defence,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,turkey-paraguay,,Turkey,Paraguay,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,0-1,away,raw_ev_model,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,turkey-paraguay,,Turkey,Paraguay,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,0-1,away,naive_favourite_low_score,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,turkey-paraguay,,Turkey,Paraguay,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,0-1,away,oddspedia_modal,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,turkey-paraguay,,Turkey,Paraguay,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,0-1,away,oddspedia_ev,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,turkey-paraguay,,Turkey,Paraguay,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,0-1,away,daily_robust_card,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,turkey-paraguay,,Turkey,Paraguay,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,0-1,away,final_leader_defence,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,unitedstates-australia,,United States,Australia,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,2-0,home,raw_ev_model,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,unitedstates-australia,,United States,Australia,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,2-0,home,naive_favourite_low_score,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,unitedstates-australia,,United States,Australia,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,2-0,home,oddspedia_modal,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,unitedstates-australia,,United States,Australia,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,2-0,home,oddspedia_ev,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,unitedstates-australia,,United States,Australia,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,2-0,home,daily_robust_card,,0.0,invalid_pick,,,,,,,,,False,,False,,
2026-06-21T08:20:48.481885+00:00,unitedstates-australia,,United States,Australia,outputs/superbru_pool/superbru_match_results_auto.csv,superbru_matches_tab_result_row,2-0,home,final_leader_defence,,0.0,invalid_pick,,,,,,,,,False,,False,,
