match_id,commence_time,home_team,away_team,source_type,market_id,market_structure,data_json,source_url,current_url,source_name
belgium-iran,2026-06-21T19:00:00Z,Belgium,Iran,nuxt,100,list,"[51.9, 23.85, 24.3]",https://oddspedia.com/football/belgium-iran-1654569,https://oddspedia.com/football/iran-belgium-1654569,nuxt_state_event
belgium-iran,2026-06-21T19:00:00Z,Belgium,Iran,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 6.08, ""0-1"": 6.65, ""0-2"": 3.66, ""0-3"": 1.33, ""1-0"": 10.26, ""1-1"": 11.24, ""1-2"": 6.17, ""1-3"": 2.25, ""2-0"": 8.82, ""2-1"": 9.63, ""2-2"": 5.28, ""2-3"": 1.92, ""3-0"": 5.07, ""3-1"": 5.53, ""3-2"": 3.02, ""3-3"": 1.11, ""Other_1"": 9.58, ""Other_2"": 2.33, ""Other_X"": 0.15}, ""odds"": {""value"": ""9"", ""bid"": 126, ""offerId"": 2024704084, ""link"": ""https://www.bet365.com/dl/sportsbookredirect?affiliatecode=365_00917427&affiliate=365_00917427&bs=194699808-1301047638~9.000~10&bet=1"", ""link_e2e_parameter"": null, ""bookie"": ""bet365"", ""slug"": ""bet365"", ""primary_color"": ""#126d50"", ""status"": 3, ""handicap_name"": ""1 : 1""}}",https://oddspedia.com/football/belgium-iran-1654569,https://oddspedia.com/football/iran-belgium-1654569,nuxt_state_event
uruguay-cape-verde,2026-06-21T22:00:00Z,Uruguay,Cape Verde,nuxt,100,list,"[52.2, 26.6, 21.2]",https://oddspedia.com/football/uruguay-cape-verde-1654577,https://oddspedia.com/football/uruguay-cape-verde-1654577,nuxt_state_event
uruguay-cape-verde,2026-06-21T22:00:00Z,Uruguay,Cape Verde,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 10.28, ""0-1"": 8.25, ""0-2"": 3.41, ""0-3"": 0.98, ""1-0"": 15, ""1-1"": 12.06, ""1-2"": 5.02, ""1-3"": 1.42, ""2-0"": 10.9, ""2-1"": 8.84, ""2-2"": 3.69, ""2-3"": 1.05, ""3-0"": 5.31, ""3-1"": 4.3, ""3-2"": 1.8, ""3-3"": 0.52, ""Other_1"": 6.05, ""Other_2"": 1.06, ""Other_X"": 0.05}, ""odds"": {""value"": ""5.5"", ""bid"": 126, ""offerId"": 2024704109, ""link"": ""https://www.bet365.com/dl/sportsbookredirect?affiliatecode=365_00917427&affiliate=365_00917427&bs=194699810-1301059504~5.500~10&bet=1"", ""link_e2e_parameter"": null, ""bookie"": ""bet365"", ""slug"": ""bet365"", ""primary_color"": ""#126d50"", ""status"": 3, ""handicap_name"": ""1 : 0""}}",https://oddspedia.com/football/uruguay-cape-verde-1654577,https://oddspedia.com/football/uruguay-cape-verde-1654577,nuxt_state_event
new-zealand-egypt,2026-06-22T01:00:00Z,New Zealand,Egypt,nuxt,100,list,"[26.85, 27.35, 45.8]",https://oddspedia.com/football/new-zealand-egypt-1295549,https://oddspedia.com/football/egypt-new-zealand-1295549,nuxt_state_event
new-zealand-egypt,2026-06-22T01:00:00Z,New Zealand,Egypt,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 9.71, ""0-1"": 13.15, ""0-2"": 8.96, ""0-3"": 4.08, ""1-0"": 9.19, ""1-1"": 12.6, ""1-2"": 8.65, ""1-3"": 3.96, ""2-0"": 4.48, ""2-1"": 6.21, ""2-2"": 4.29, ""2-3"": 1.98, ""3-0"": 1.51, ""3-1"": 2.09, ""3-2"": 1.46, ""3-3"": 0.68, ""Other_1"": 1.9, ""Other_2"": 5.01, ""Other_X"": 0.07}, ""odds"": {""value"": ""6"", ""bid"": 495, ""offerId"": 2019762291, ""link"": ""https://wlfanduelus.adsrv.eacdn.com/C.ashx?btag=a_44784b_15c_&affid=16174&siteid=44784&adid=15&c="", ""link_e2e_parameter"": null, ""bookie"": ""FanDuel"", ""slug"": ""fanduel"", ""primary_color"": ""#0078FF"", ""status"": 3, ""handicap_name"": ""0 : 1""}}",https://oddspedia.com/football/new-zealand-egypt-1295549,https://oddspedia.com/football/egypt-new-zealand-1295549,nuxt_state_event
argentina-austria,2026-06-22T17:00:00Z,Argentina,Austria,nuxt,100,list,"[41.55, 24.5, 33.9]",https://oddspedia.com/football/argentina-austria-1654585,https://oddspedia.com/football/argentina-austria-1654585,nuxt_state_event
argentina-austria,2026-06-22T17:00:00Z,Argentina,Austria,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 5.54, ""0-1"": 7.5, ""0-2"": 5.09, ""0-3"": 2.33, ""1-0"": 8.17, ""1-1"": 11.2, ""1-2"": 7.71, ""1-3"": 3.55, ""2-0"": 6.2, ""2-1"": 8.61, ""2-2"": 5.99, ""2-3"": 2.8, ""3-0"": 3.25, ""3-1"": 4.55, ""3-2"": 3.21, ""3-3"": 1.51, ""Other_1"": 7.57, ""Other_2"": 4.93, ""Other_X"": 0.25}, ""odds"": {""value"": ""8"", ""bid"": 495, ""offerId"": 2019763665, ""link"": ""https://wlfanduelus.adsrv.eacdn.com/C.ashx?btag=a_44784b_15c_&affid=16174&siteid=44784&adid=15&c="", ""link_e2e_parameter"": null, ""bookie"": ""FanDuel"", ""slug"": ""fanduel"", ""primary_color"": ""#0078FF"", ""status"": 3, ""handicap_name"": ""1 : 1""}}",https://oddspedia.com/football/argentina-austria-1654585,https://oddspedia.com/football/argentina-austria-1654585,nuxt_state_event
france-iraq,2026-06-22T21:00:00Z,France,Iraq,nuxt,100,list,"[72.95, 18.7, 8.31]",https://oddspedia.com/football/france-iraq-1869928,https://oddspedia.com/football/france-iraq-1869928,nuxt_state_event
france-iraq,2026-06-22T21:00:00Z,France,Iraq,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 8.22, ""0-1"": 3.89, ""0-2"": 1, ""0-3"": 0.2, ""1-0"": 15.89, ""1-1"": 7.83, ""1-2"": 2.11, ""1-3"": 0.41, ""2-0"": 15.64, ""2-1"": 8.04, ""2-2"": 2.26, ""2-3"": 0.45, ""3-0"": 10.5, ""3-1"": 5.62, ""3-2"": 1.63, ""3-3"": 0.35, ""Other_1"": 15.64, ""Other_2"": 0.25, ""Other_X"": 0.04}, ""odds"": {""value"": ""10.5"", ""bid"": 495, ""offerId"": 2026056998, ""link"": ""https://wlfanduelus.adsrv.eacdn.com/C.ashx?btag=a_44784b_15c_&affid=16174&siteid=44784&adid=15&c="", ""link_e2e_parameter"": null, ""bookie"": ""FanDuel"", ""slug"": ""fanduel"", ""primary_color"": ""#0078FF"", ""status"": 3, ""handicap_name"": ""1 : 0""}}",https://oddspedia.com/football/france-iraq-1869928,https://oddspedia.com/football/france-iraq-1869928,nuxt_state_event
norway-senegal,2026-06-23T00:00:00Z,Norway,Senegal,nuxt,100,list,"[41.55, 24.6, 33.85]",https://oddspedia.com/football/norway-senegal-1654581,https://oddspedia.com/football/norway-senegal-1654581,nuxt_state_event
norway-senegal,2026-06-23T00:00:00Z,Norway,Senegal,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 5.59, ""0-1"": 7.35, ""0-2"": 4.96, ""0-3"": 2.28, ""1-0"": 8.46, ""1-1"": 11.25, ""1-2"": 7.69, ""1-3"": 3.58, ""2-0"": 6.43, ""2-1"": 8.69, ""2-2"": 6, ""2-3"": 2.83, ""3-0"": 3.29, ""3-1"": 4.5, ""3-2"": 3.14, ""3-3"": 1.51, ""Other_1"": 7.03, ""Other_2"": 5.16, ""Other_X"": 0.25}, ""odds"": {""value"": ""6.5"", ""bid"": 495, ""offerId"": 2019765862, ""link"": ""https://wlfanduelus.adsrv.eacdn.com/C.ashx?btag=a_44784b_15c_&affid=16174&siteid=44784&adid=15&c="", ""link_e2e_parameter"": null, ""bookie"": ""FanDuel"", ""slug"": ""fanduel"", ""primary_color"": ""#0078FF"", ""status"": 3, ""handicap_name"": ""1 : 1""}}",https://oddspedia.com/football/norway-senegal-1654581,https://oddspedia.com/football/norway-senegal-1654581,nuxt_state_event
jordan-algeria,2026-06-23T03:00:00Z,Jordan,Algeria,nuxt,100,list,"[26.25, 24.45, 49.3]",https://oddspedia.com/football/jordan-algeria-1654586,https://oddspedia.com/football/algeria-jordan-1654586,nuxt_state_event
jordan-algeria,2026-06-23T03:00:00Z,Jordan,Algeria,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 6.57, ""0-1"": 10.59, ""0-2"": 8.55, ""0-3"": 4.62, ""1-0"": 6.9, ""1-1"": 11.26, ""1-2"": 9.22, ""1-3"": 5.06, ""2-0"": 3.83, ""2-1"": 6.32, ""2-2"": 5.26, ""2-3"": 2.93, ""3-0"": 1.49, ""3-1"": 2.51, ""3-2"": 2.11, ""3-3"": 1.18, ""Other_1"": 3.1, ""Other_2"": 8.33, ""Other_X"": 0.18}, ""odds"": {""value"": ""8"", ""bid"": 126, ""offerId"": 2024711370, ""link"": ""https://www.bet365.com/dl/sportsbookredirect?affiliatecode=365_00917427&affiliate=365_00917427&bs=194699821-1301231621~8.000~10&bet=1"", ""link_e2e_parameter"": null, ""bookie"": ""bet365"", ""slug"": ""bet365"", ""primary_color"": ""#126d50"", ""status"": 3, ""handicap_name"": ""1 : 1""}}",https://oddspedia.com/football/jordan-algeria-1654586,https://oddspedia.com/football/algeria-jordan-1654586,nuxt_state_event
portugal-uzbekistan,2026-06-23T17:00:00Z,Portugal,Uzbekistan,nuxt,100,list,"[65.85, 21.9, 12.26]",https://oddspedia.com/football/portugal-uzbekistan-1232,https://oddspedia.com/football/portugal-uzbekistan-1232,nuxt_state_event
portugal-uzbekistan,2026-06-23T17:00:00Z,Portugal,Uzbekistan,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 9.17, ""0-1"": 5.04, ""0-2"": 1.61, ""0-3"": 0.38, ""1-0"": 15.96, ""1-1"": 9.17, ""1-2"": 3.05, ""1-3"": 0.78, ""2-0"": 14.06, ""2-1"": 8.47, ""2-2"": 2.97, ""2-3"": 0.78, ""3-0"": 8.39, ""3-1"": 5.31, ""3-2"": 1.94, ""3-3"": 0.52, ""Other_1"": 11.72, ""Other_2"": 0.63, ""Other_X"": 0.07}, ""odds"": {""value"": ""8"", ""bid"": 495, ""offerId"": 2023597055, ""link"": ""https://wlfanduelus.adsrv.eacdn.com/C.ashx?btag=a_44784b_15c_&affid=16174&siteid=44784&adid=15&c="", ""link_e2e_parameter"": null, ""bookie"": ""FanDuel"", ""slug"": ""fanduel"", ""primary_color"": ""#0078FF"", ""status"": 3, ""handicap_name"": ""1 : 0""}}",https://oddspedia.com/football/portugal-uzbekistan-1232,https://oddspedia.com/football/portugal-uzbekistan-1232,nuxt_state_event
england-ghana,2026-06-23T20:00:00Z,England,Ghana,nuxt,100,list,"[69.8, 19.5, 10.74]",https://oddspedia.com/football/england-ghana-1654594,https://oddspedia.com/football/england-ghana-1654594,nuxt_state_event
england-ghana,2026-06-23T20:00:00Z,England,Ghana,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 7.26, ""0-1"": 4.6, ""0-2"": 1.47, ""0-3"": 0.31, ""1-0"": 14.22, ""1-1"": 8.98, ""1-2"": 2.84, ""1-3"": 0.59, ""2-0"": 14.17, ""2-1"": 8.94, ""2-2"": 2.82, ""2-3"": 0.59, ""3-0"": 9.57, ""3-1"": 6.02, ""3-2"": 1.89, ""3-3"": 0.4, ""Other_1"": 15, ""Other_2"": 0.34, ""Other_X"": 0.04}}",https://oddspedia.com/football/england-ghana-1654594,https://oddspedia.com/football/england-ghana-1654594,nuxt_state_event
panama-croatia,2026-06-23T23:00:00Z,Panama,Croatia,nuxt,100,list,"[24.4, 23.3, 52.25]",https://oddspedia.com/football/panama-croatia-1654595,https://oddspedia.com/football/croatia-panama-1654595,nuxt_state_event
panama-croatia,2026-06-23T23:00:00Z,Panama,Croatia,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 5.54, ""0-1"": 9.75, ""0-2"": 8.61, ""0-3"": 5.06, ""1-0"": 6.08, ""1-1"": 10.79, ""1-2"": 9.58, ""1-3"": 5.68, ""2-0"": 3.43, ""2-1"": 6.13, ""2-2"": 5.49, ""2-3"": 3.28, ""3-0"": 1.33, ""3-1"": 2.39, ""3-2"": 2.15, ""3-3"": 1.29, ""Other_1"": 2.89, ""Other_2"": 10.29, ""Other_X"": 0.2}, ""odds"": {""value"": ""8"", ""bid"": 126, ""offerId"": 2024712251, ""link"": ""https://www.bet365.com/dl/sportsbookredirect?affiliatecode=365_00917427&affiliate=365_00917427&bs=194699830-1301260189~8.000~10&bet=1"", ""link_e2e_parameter"": null, ""bookie"": ""bet365"", ""slug"": ""bet365"", ""primary_color"": ""#126d50"", ""status"": 3, ""handicap_name"": ""1 : 1""}}",https://oddspedia.com/football/panama-croatia-1654595,https://oddspedia.com/football/croatia-panama-1654595,nuxt_state_event
colombia-dr-congo,2026-06-24T02:00:00Z,Colombia,DR Congo,nuxt,100,list,"[52.95, 25.85, 21.2]",https://oddspedia.com/football/colombia-dr-congo-1869932,https://oddspedia.com/football/colombia-dr-congo-1869932,nuxt_state_event
colombia-dr-congo,2026-06-24T02:00:00Z,Colombia,DR Congo,nuxt,800,dict_with_probs,"{""probabilities"": {""0-0"": 9.2, ""0-1"": 7.9, ""0-2"": 3.41, ""0-3"": 0.98, ""1-0"": 14.01, ""1-1"": 12.06, ""1-2"": 5.19, ""1-3"": 1.49, ""2-0"": 10.71, ""2-1"": 9.21, ""2-2"": 3.96, ""2-3"": 1.14, ""3-0"": 5.47, ""3-1"": 4.68, ""3-2"": 2.01, ""3-3"": 0.58, ""Other_1"": 6.85, ""Other_2"": 1.1, ""Other_X"": 0.05}, ""odds"": {""value"": ""5.7"", ""bid"": 495, ""offerId"": 2016379439, ""link"": ""https://wlfanduelus.adsrv.eacdn.com/C.ashx?btag=a_44784b_15c_&affid=16174&siteid=44784&adid=15&c="", ""link_e2e_parameter"": null, ""bookie"": ""FanDuel"", ""slug"": ""fanduel"", ""primary_color"": ""#0078FF"", ""status"": 3, ""handicap_name"": ""1 : 0""}}",https://oddspedia.com/football/colombia-dr-congo-1869932,https://oddspedia.com/football/colombia-dr-congo-1869932,nuxt_state_event
