scenario,scenario_description,commence_time,home_team,away_team,raw_pick,leader_mc_pick,switched,raw_ev_full_matrix,leader_mc_ev_full_matrix,ev_loss,risk_tier,confidence_tier
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.933759,0.933759,0.0,high,medium
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.287924,1.287924,0.0,low,strong
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.842869,0.842869,0.0,high,fragile
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.683719,0.683719,0.0,high,fragile
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.833335,0.833335,0.0,high,fragile
goals_plus_5pct,Model total-goals expectation tilted 5 percent higher.,2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.640869,0.640869,0.0,high,fragile
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.769942,0.769942,0.0,high,medium
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.354536,1.354536,0.0,low,strong
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.144789,1.144789,0.0,low,strong
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.925254,0.925254,0.0,high,medium
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.305923,1.305923,0.0,low,strong
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.844469,0.844469,0.0,high,fragile
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.700125,0.700125,0.0,high,fragile
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.831031,0.831031,0.0,high,fragile
goals_minus_5pct,Model total-goals expectation tilted 5 percent lower.,2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.632131,0.632131,0.0,high,fragile
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.773274,0.773274,0.0,high,medium
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.342257,1.342257,0.0,low,strong
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.149401,1.149401,0.0,low,strong
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.93294,0.93294,0.0,high,medium
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.298166,1.298166,0.0,low,strong
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.84737,0.84737,0.0,high,fragile
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.700882,0.700882,0.0,high,fragile
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.835978,0.835978,0.0,high,fragile
rho_plus_0_02,Dixon-Coles rho increased by 0.02.,2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.640585,0.640585,0.0,high,fragile
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.756128,0.756128,0.0,high,medium
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.342614,1.342614,0.0,low,strong
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.147131,1.147131,0.0,low,strong
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.928143,0.928143,0.0,high,medium
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.297914,1.297914,0.0,low,strong
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.841569,0.841569,0.0,high,fragile
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.683412,0.683412,0.0,high,fragile
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.830096,0.830096,0.0,high,fragile
rho_minus_0_02,Dixon-Coles rho decreased by 0.02.,2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.634073,0.634073,0.0,high,fragile
draw_heavy,Draw scorelines receive 8 percent more mass.,2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.745591,0.745591,0.0,high,medium
draw_heavy,Draw scorelines receive 8 percent more mass.,2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.329863,1.329863,0.0,low,strong
draw_heavy,Draw scorelines receive 8 percent more mass.,2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.128482,1.128482,0.0,low,strong
draw_heavy,Draw scorelines receive 8 percent more mass.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.910936,0.910936,0.0,high,medium
draw_heavy,Draw scorelines receive 8 percent more mass.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.283357,1.283357,0.0,low,strong
draw_heavy,Draw scorelines receive 8 percent more mass.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.827586,0.827586,0.0,high,fragile
draw_heavy,Draw scorelines receive 8 percent more mass.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.676102,0.676102,0.0,high,fragile
draw_heavy,Draw scorelines receive 8 percent more mass.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.815573,0.815573,0.0,high,fragile
draw_heavy,Draw scorelines receive 8 percent more mass.,2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.623743,0.623743,0.0,high,fragile
draw_light,Draw scorelines receive 8 percent less mass.,2026-07-03T18:00:00Z,Australia,Egypt,0-1,0-1,False,0.784771,0.784771,0.0,high,medium
draw_light,Draw scorelines receive 8 percent less mass.,2026-07-03T22:00:00Z,Argentina,Cape Verde,2-0,2-0,False,1.355172,1.355172,0.0,low,strong
draw_light,Draw scorelines receive 8 percent less mass.,2026-07-04T01:30:00Z,Colombia,Ghana,2-0,2-0,False,1.168649,1.168649,0.0,low,strong
draw_light,Draw scorelines receive 8 percent less mass.,2026-07-04T17:00:00Z,Canada,Morocco,0-2,0-2,False,0.950941,0.950941,0.0,high,medium
draw_light,Draw scorelines receive 8 percent less mass.,2026-07-04T21:00:00Z,Paraguay,France,0-2,0-2,False,1.312978,1.312978,0.0,low,strong
draw_light,Draw scorelines receive 8 percent less mass.,2026-07-05T20:00:00Z,Brazil,Norway,2-0,2-0,False,0.862031,0.862031,0.0,high,fragile
draw_light,Draw scorelines receive 8 percent less mass.,2026-07-06T00:00:00Z,Mexico,England,0-1,0-1,False,0.708937,0.708937,0.0,high,fragile
draw_light,Draw scorelines receive 8 percent less mass.,2026-07-06T19:00:00Z,Portugal,Spain,0-2,0-2,False,0.851231,0.851231,0.0,high,fragile
draw_light,Draw scorelines receive 8 percent less mass.,2026-07-07T00:00:00Z,United States,Belgium,2-1,2-1,False,0.651496,0.651496,0.0,high,fragile
