commence_time,home_team,away_team,raw_pick,leader_mc_pick,switched,raw_ev_full_matrix,leader_mc_ev_full_matrix,ev_loss,risk_tier,confidence_tier,final_pick,final_switched,final_policy_reason
2026-06-25T01:00:00Z,Czech Republic,Mexico,0-2,0-2,False,0.769602,0.769602,0.0,high,fragile,0-2,False,raw pick retained; no robust defensive switch approved
2026-06-25T01:00:00Z,South Africa,South Korea,0-2,0-2,False,0.997348,0.997348,0.0,medium,medium,0-2,False,raw pick retained; no robust defensive switch approved
2026-06-25T20:00:00Z,Curacao,Ivory Coast,0-2,0-2,False,1.259502,1.259502,0.0,low,medium,0-2,False,raw pick retained; no robust defensive switch approved
2026-06-25T20:00:00Z,Ecuador,Germany,0-2,0-2,False,0.931835,0.931835,0.0,medium,medium,0-2,False,raw pick retained; no robust defensive switch approved
2026-06-25T23:00:00Z,Japan,Sweden,2-1,2-1,False,0.74322,0.74322,0.0,high,fragile,2-1,False,raw pick retained; no robust defensive switch approved
2026-06-25T23:00:00Z,Tunisia,Netherlands,0-2,0-2,False,1.15665,1.15665,0.0,low,strong,0-2,False,raw pick retained; no robust defensive switch approved
2026-06-26T02:00:00Z,Paraguay,Australia,1-0,1-0,False,0.736789,0.736789,0.0,high,medium,1-0,False,raw pick retained; no robust defensive switch approved
2026-06-26T02:00:00Z,Turkey,United States,1-2,1-2,False,0.741987,0.741987,0.0,high,medium,1-2,False,raw pick retained; no robust defensive switch approved
2026-06-26T19:00:00Z,Norway,France,0-2,0-2,False,0.864981,0.864981,0.0,high,fragile,0-2,False,raw pick retained; no robust defensive switch approved
2026-06-26T19:00:00Z,Senegal,Iraq,2-0,2-0,False,1.217109,1.217109,0.0,low,strong,2-0,False,raw pick retained; no robust defensive switch approved
2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,1-2,1-2,False,0.664832,0.664832,0.0,high,medium,1-2,False,raw pick retained; no robust defensive switch approved
2026-06-27T00:00:00Z,Uruguay,Spain,0-2,0-2,False,1.017912,1.017912,0.0,medium,medium,0-2,False,raw pick retained; no robust defensive switch approved
2026-06-27T03:00:00Z,New Zealand,Belgium,0-2,0-2,False,1.234968,1.234968,0.0,low,strong,0-2,False,raw pick retained; no robust defensive switch approved
2026-06-27T03:00:00Z,Egypt,Iran,2-0,2-0,False,0.785233,0.785233,0.0,high,fragile,2-0,False,raw pick retained; no robust defensive switch approved
2026-06-27T21:00:00Z,Croatia,Ghana,2-0,2-0,False,0.993154,0.993154,0.0,medium,medium,2-0,False,raw pick retained; no robust defensive switch approved
2026-06-27T21:00:00Z,Panama,England,0-2,0-2,False,1.194401,1.194401,0.0,low,strong,0-2,False,raw pick retained; no robust defensive switch approved
2026-06-27T23:30:00Z,Colombia,Portugal,0-2,0-2,False,0.767718,0.767718,0.0,high,fragile,0-2,False,raw pick retained; no robust defensive switch approved
2026-06-27T23:30:00Z,DR Congo,Uzbekistan,2-1,2-1,False,0.746708,0.746708,0.0,high,fragile,2-1,False,raw pick retained; no robust defensive switch approved
2026-06-28T02:00:00Z,Algeria,Austria,1-2,1-2,False,0.672888,0.672888,0.0,high,fragile,1-2,False,raw pick retained; no robust defensive switch approved
2026-06-28T02:00:00Z,Jordan,Argentina,0-2,0-2,False,1.213643,1.213643,0.0,low,strong,0-2,False,raw pick retained; no robust defensive switch approved
