match_id,commence_time,home_team,away_team,correct_score_row_count,missing_exact_scores,missing_other_rows,correct_score_probability_total_pct,winner_probability_total_pct,winner_home_pct,winner_draw_pct,winner_away_pct,modal_correct_score,market_p_home_win,market_p_draw,market_p_away_win,locked_pick,locked_pick_outside_0_3_grid,source_url,current_url,has_grid,row_count_usually_19,has_exact_0_0_to_3_3,has_other_rows,correct_score_probability_total_ok,winner_probability_total_ok,market_1x2_vs_grid_direction_consistent,source_url_loaded_successfully,modal_score_present,locked_score_present_or_outside_grid,quality_status,failed_checks,failed_check_count
jordan-algeria,2026-06-23T03:00:00Z,Jordan,Algeria,19,,,100.01,100.0,26.25,24.45,49.3,1-1,26.25,24.45,49.3,0-2,False,https://oddspedia.com/football/jordan-algeria-1654586,https://oddspedia.com/football/jordan-algeria-1654586,True,True,True,True,True,True,True,True,True,True,ok,,0
jordan-argentina,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
morocco-haiti,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,2-0,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,19,,,100.05,100.05,50.6,23.45,26.0,1-1,50.6,23.45,26.0,2-0,False,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,True,True,True,True,True,True,True,True,True,True,ok,,0
new-zealand-belgium,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
new-zealand-egypt,2026-06-22T01:00:00Z,New Zealand,Egypt,19,,,99.98,100.0,26.85,27.35,45.8,0-1,26.85,27.35,45.8,0-2,False,https://oddspedia.com/football/new-zealand-egypt-1295549,https://oddspedia.com/football/new-zealand-egypt-1295549,True,True,True,True,True,True,True,True,True,True,ok,,0
norway-france,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,1-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
norway-senegal,2026-06-23T00:00:00Z,Norway,Senegal,19,,,99.99,100.0,41.55,24.6,33.85,1-1,41.55,24.6,33.85,2-1,False,https://oddspedia.com/football/norway-senegal-1654581,https://oddspedia.com/football/norway-senegal-1654581,True,True,True,True,True,True,True,True,True,True,ok,,0
panama-croatia,2026-06-23T23:00:00Z,Panama,Croatia,19,,,99.96,99.95,24.4,23.3,52.25,1-1,24.4,23.3,52.25,0-2,False,https://oddspedia.com/football/panama-croatia-1654595,https://oddspedia.com/football/panama-croatia-1654595,True,True,True,True,True,True,True,True,True,True,ok,,0
panama-england,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
paraguay-australia,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,1-0,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
portugal-uzbekistan,2026-06-23T17:00:00Z,Portugal,Uzbekistan,19,,,100.01999999999998,100.01,65.85,21.9,12.26,1-0,65.85,21.9,12.26,2-0,False,https://oddspedia.com/football/portugal-uzbekistan-1232,https://oddspedia.com/football/portugal-uzbekistan-1232,True,True,True,True,True,True,True,True,True,True,ok,,0
scotland-brazil,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
senegal-iraq,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,2-0,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
south-africa-south-korea,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
spain-saudi-arabia,2026-06-21T16:00:00Z,Spain,Saudi Arabia,19,,,99.95,99.94999999999999,66.8,20.9,12.25,1-0,66.8,20.9,12.25,3-0,False,https://oddspedia.com/football/spain-saudi-arabia-1654576,https://oddspedia.com/football/spain-saudi-arabia-1654576,True,True,True,True,True,True,True,True,True,True,ok,,0
switzerland-canada,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,1-0,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
tunisia-japan,2026-06-21T04:00:00Z,Tunisia,Japan,19,,,100.04999999999998,100.05,20.2,24.3,55.55,0-1,20.2,24.3,55.55,0-2,False,https://oddspedia.com/football/tunisia-japan-957,https://oddspedia.com/football/tunisia-japan-957,True,True,True,True,True,True,True,True,True,True,ok,,0
tunisia-netherlands,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
turkey-united-states,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,1-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
uruguay-cape-verde,2026-06-21T22:00:00Z,Uruguay,Cape Verde,19,,,99.98999999999998,100.00000000000001,52.2,26.6,21.2,1-0,52.2,26.6,21.2,2-0,False,https://oddspedia.com/football/uruguay-cape-verde-1654577,https://oddspedia.com/football/uruguay-cape-verde-1654577,True,True,True,True,True,True,True,True,True,True,ok,,0
uruguay-spain,,,,0,0-0;0-1;0-2;0-3;1-0;1-1;1-2;1-3;2-0;2-1;2-2;2-3;3-0;3-1;3-2;3-3,Other_1;Other_X;Other_2,0.0,0.0,,,,,,,,0-2,False,,,False,False,False,False,False,False,True,False,False,False,warning,has_grid;row_count_usually_19;has_exact_0_0_to_3_3;has_other_rows;correct_score_probability_total_ok;winner_probability_total_ok;source_url_loaded_successfully;modal_score_present;locked_score_present_or_outside_grid,9
