anchor_generated_at_utc,recorded_at_utc,source,sport,market_key,source_rows_fetched,source_rows_normalized,mapping_audit_rows,polymarket_rows_eligible,rows_mapped,rows_joined,unique_markets_mapped,mapping_rate,join_rate,ambiguous_rows,stale_rows,missing_anchor_timestamp_rows,price_observed_rows,mean_executable_buy_divergence,mean_midpoint_divergence,zero_mapping,zero_current_join,actionable_rows,accounting_status,denominator_conservation_ok
2026-07-13T09:50:29Z,2026-07-13T09:51:04Z,betfair_ex_eu,soccer_fifa_world_cup_winner,outrights,4,4,4,42,4,4,1,1.0,1.0,0,0,4,4,0.003,0.0035,False,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T09:50:29Z,2026-07-13T09:51:04Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,30,0,,,True,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T09:50:29Z,2026-07-13T09:51:04Z,pinnacle,soccer_fifa_world_cup,h2h,6,6,6,455,6,0,2,1.0,0.0,0,0,6,0,,,False,True,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T10:10:24Z,2026-07-13T10:11:06Z,betfair_ex_eu,soccer_fifa_world_cup_winner,outrights,4,4,4,42,4,4,1,1.0,1.0,0,0,4,4,0.003,0.0035,False,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T10:10:24Z,2026-07-13T10:11:06Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,30,0,,,True,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T10:10:24Z,2026-07-13T10:11:06Z,pinnacle,soccer_fifa_world_cup,h2h,6,6,6,455,6,0,2,1.0,0.0,0,0,6,0,,,False,True,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T10:30:14Z,2026-07-13T10:30:49Z,betfair_ex_eu,soccer_fifa_world_cup_winner,outrights,4,4,4,42,4,4,1,1.0,1.0,0,0,4,4,0.003,0.0035,False,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T10:30:14Z,2026-07-13T10:30:49Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,30,0,,,True,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T10:30:14Z,2026-07-13T10:30:49Z,pinnacle,soccer_fifa_world_cup,h2h,6,6,6,455,6,0,2,1.0,0.0,0,0,6,0,,,False,True,0,incomplete_missing_raw_fetch_denominator,False
2026-07-19T10:26:00Z,2026-07-19T10:36:17Z,betfair_ex_eu,soccer_fifa_world_cup_winner,outrights,2,2,2,64,2,2,1,1.0,1.0,0,0,0,2,0.001,0.0015,False,False,0,complete,True
2026-07-19T10:26:00Z,2026-07-19T10:36:17Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,0,0,,,True,False,0,complete,True
2026-07-19T10:26:00Z,2026-07-19T10:36:17Z,pinnacle,soccer_fifa_world_cup,h2h,3,3,3,587,3,0,1,1.0,0.0,0,0,0,0,,,False,True,0,complete,True
2026-07-19T15:43:29Z,2026-07-19T17:35:02Z,betfair_ex_eu,soccer_fifa_world_cup_winner,outrights,2,2,2,64,2,2,1,1.0,1.0,0,0,0,2,0.001,0.0015,False,False,0,complete,True
2026-07-19T15:43:29Z,2026-07-19T17:35:02Z,pinnacle,soccer_fifa_world_cup,h2h,3,3,3,587,3,0,1,1.0,0.0,0,0,0,0,,,False,True,0,complete,True
2026-07-19T17:51:13Z,2026-07-19T18:19:11Z,betfair_ex_eu,soccer_fifa_world_cup_winner,outrights,2,2,2,64,2,2,1,1.0,1.0,0,0,0,2,0.001,0.0015,False,False,0,complete,True
2026-07-19T17:51:13Z,2026-07-19T18:19:11Z,pinnacle,soccer_fifa_world_cup,h2h,3,3,3,587,3,0,1,1.0,0.0,0,0,0,0,,,False,True,0,complete,True
2026-07-19T22:56:38Z,2026-07-20T00:47:48Z,betfair_ex_eu,soccer_fifa_world_cup_winner,outrights,1,1,1,64,0,0,0,0.0,,0,0,0,0,,,True,False,0,complete,True
2026-07-21T06:45:14Z,2026-07-21T07:06:34Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,0,0,,,True,False,0,complete,True
2026-07-23T18:26:07Z,2026-07-23T19:49:31Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,0,0,,,True,False,0,complete,True
2026-08-01T18:15:18Z,2026-08-01T21:58:10Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,0,0,,,True,False,0,complete,True
2026-08-04T12:23:51Z,2026-08-04T16:37:04Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,0,0,,,True,False,0,complete,True
2026-08-14T01:33:11Z,2026-08-14T06:42:47Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,0,0,,,True,False,0,complete,True
2026-08-15T10:46:41Z,2026-08-15T12:55:50Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,0,0,,,True,False,0,complete,True
2026-08-19T07:59:44Z,2026-08-19T13:39:15Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,0,0,,,True,False,0,complete,True
