signal_cohort,buy_fills,sell_fills,open_positions,total_buy_cost_usdc,sell_proceeds_usdc,open_mark_value_usdc,open_cost_basis_usdc,paper_first_observed_at,paper_latest_observed_at,paper_buy_fills,paper_total_pnl_usdc,paper_elapsed_hours,paper_monthly_run_rate_usdc,total_pnl_usdc,roi,shadow_fills,shadow_sell_fills,shadow_open_positions,shadow_total_buy_cost_usdc,shadow_open_mark_value_usdc,shadow_total_pnl_usdc,shadow_roi,shadow_monthly_run_rate_usdc,evidence_elapsed_hours,settled_fills,monthly_run_rate_usdc,promotion_readiness,promotion_ready_score,promotion_ready_checks,promotion_evidence_source,metadata_valid,metadata_blocker,promoted,probationary,probationary_max_stake_usdc,promotion_reason,raw_paper_buy_fills,raw_paper_sell_fills,raw_paper_total_pnl_usdc,raw_paper_monthly_run_rate_usdc,paper_audit_round_trips,paper_audited_round_trips,paper_quote_conflict_round_trips,paper_quote_unverified_round_trips,paper_audited_pnl_usdc,paper_audited_stake_usdc,paper_audit_first_observed_at,paper_audit_latest_observed_at,paper_audited_roi,paper_audited_elapsed_hours,paper_audited_monthly_run_rate_usdc,paper_audit_blocker
exploratory_crypto_updown_live_model|crypto_btc_updown_15m|outcome=up,2,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-20.0,-1.0,2,2,0,20.0,0.0,-20.0,-1.0,-11.912887076767234,1208.7749936013888,2,0.0,"{""fills_remaining"": 3, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 20.0, ""roi_remaining"": 1.03, ""settled_fills_remaining"": 1, ""tracking_hours_remaining"": 0.0}",1,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=down,3,2,0,4.0,13.572884886011819,0.0,0.0,2026-07-01T10:26:35Z,2026-07-01T12:27:21Z,2,0.22192513368983935,2.012777777777778,79.38586068507638,3.138591800356507,0.22418512859689338,1,1,0,10.0,0.0,2.916666666666668,0.2916666666666668,1.755159854296789,1196.4722158258332,3,79.38586068507638,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 0.0, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",5,6,paper_plus_shadow,False,paper_quote_conflicts_excluded_from_edge,False,False,0.0,metadata/audit invalid: paper_quote_conflicts_excluded_from_edge,4,4,5.572884886011819,1993.5022943061872,4,2,2,0,0.22192513368983935,4.0,2026-07-01T10:26:35Z,2026-07-01T12:27:21Z,0.05548128342245984,2.012777777777778,79.38586068507638,paper_quote_conflicts_excluded_from_edge
exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=up,3,1,0,1.9999999999999998,2.0307377049180326,0.0,0.0,2026-07-02T13:17:12Z,2026-07-02T15:17:24Z,1,0.03073770491803285,2.0033333333333334,11.047161834101654,-2.65372069382608,-0.12062366790118545,2,2,0,20.0,0.0,-2.6844583987441126,-0.13422291993720564,-1.6230901849482544,1190.8211047166667,3,11.047161834101654,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 8.952838165898346, ""pnl_remaining_usdc"": 2.65372069382608, ""roi_remaining"": 0.15062366790118545, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,paper_plus_shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",1,1,0.03073770491803285,11.047161834101654,1,1,0,0,0.03073770491803285,1.9999999999999998,2026-07-02T13:17:12Z,2026-07-02T15:17:24Z,0.015368852459016426,2.0033333333333334,11.047161834101654,
exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=down,3,0,0,4.0,0.0,0.0,0.0,2026-07-02T23:41:00Z,2026-07-02T23:41:09Z,2,-4.0,0.016666666666666666,-172800.0,10.390243902439025,0.7421602787456446,1,1,0,10.0,0.0,14.390243902439025,1.4390243902439024,8.580103650975849,1207.5583269408332,1,8.580103650975849,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 11.419896349024151, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,paper_plus_shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
exploratory_crypto_updown_live_model|crypto_eth_updown_15m|outcome=up,3,2,0,4.0,5.88,0.0,0.0,2026-07-02T07:09:22Z,2026-07-02T09:11:10Z,2,-0.08000000000000007,2.028611111111111,-28.393810762700284,45.47555555555556,3.2482539682539686,1,1,0,10.0,0.0,45.55555555555556,4.555555555555555,27.189806545597524,1206.3344380541666,3,27.189806545597524,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 0.0, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",5,6,paper_plus_shadow,True,,False,True,2.0,positive probationary cohort evidence,4,3,-2.12,-751.9211822660099,3,2,0,1,-0.08000000000000007,4.0,2026-07-02T07:09:22Z,2026-07-02T09:11:05Z,-0.020000000000000018,2.028611111111111,-28.393810762700284,
exploratory_crypto_updown_live_model|crypto_eth_updown_daily|outcome=up,3,0,0,0.0,0.9411764705882353,0.0,0.0,2026-07-01T13:31:28Z,2026-07-01T13:31:57Z,0,0.0,0.0,0.0,8.023219718134975,0.26744065727116584,3,3,0,30.0,0.0,8.023219718134975,0.26744065727116584,4.762405276916447,1212.983326945,3,4.762405276916447,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 15.237594723083554, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",4,6,shadow,False,paper_quote_conflicts_excluded_from_edge,False,False,0.0,metadata/audit invalid: paper_quote_conflicts_excluded_from_edge,1,1,-1.0588235294117647,-45741.17647058824,1,0,1,0,0.0,0.0,,,0.0,0.0,0.0,paper_quote_conflicts_excluded_from_edge
exploratory_crypto_updown_live_model|crypto_sol_updown_15m|outcome=up,1,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,9.67895748754814,0.9678957487548139,1,1,0,10.0,0.0,9.67895748754814,0.9678957487548139,5.920942868250348,1176.9830491694443,1,5.920942868250348,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 14.079057131749652, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
exploratory_crypto_updown_live_model|crypto_xrp_updown_daily|outcome=up,2,0,0,1.9999999999999998,0.0,0.0,0.0,2026-07-02T21:00:45Z,2026-07-02T21:00:45Z,1,-1.9999999999999998,0.016666666666666666,-86399.99999999999,-0.6363636363636365,-0.05303030303030304,1,1,0,10.0,0.0,1.3636363636363633,0.13636363636363633,0.8244883953772845,1190.8211047269444,1,0.8244883953772845,"{""fills_remaining"": 3, ""monthly_run_rate_remaining_usdc"": 19.175511604622717, ""pnl_remaining_usdc"": 0.6363636363636365, ""roi_remaining"": 0.08303030303030304, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",1,6,paper_plus_shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
exploratory_historical_rule|crypto_sol_updown_event|outcome=up,1,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-10.0,-1.0,1,1,0,10.0,0.0,-10.0,-1.0,-6.3752702840239674,1129.3638825069445,1,0.0,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 10.0, ""roi_remaining"": 1.03, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",1,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
exploratory_inverse_historical_rule|crypto_btc_updown_5m|outcome=up,0,0,0,0.0,5.0,0.0,0.0,2026-06-26T16:30:18Z,2026-06-27T04:57:39Z,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0,0.0,"{""fills_remaining"": 5, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.03, ""settled_fills_remaining"": 3, ""tracking_hours_remaining"": 2.0}",1,6,paper,False,paper_quotes_unverified_by_snapshot,False,False,0.0,metadata/audit invalid: paper_quotes_unverified_by_snapshot,3,1,-4.0,-231.21696661537433,1,0,0,1,0.0,0.0,,,0.0,0.0,0.0,paper_quotes_unverified_by_snapshot
geopolitics,4,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-3.0584780624212797,-0.076461951560532,4,4,0,40.0,0.0,-3.0584780624212797,-0.076461951560532,-2.5492423399939312,863.8269380647222,4,0.0,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 3.0584780624212797, ""roi_remaining"": 0.106461951560532, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
low_price_tick_probe|crypto_btc_special|one_cent_return>=0.03,1,1,0,1.0,0.6716417910447761,0.0,0.0,2026-07-02T06:46:15Z,2026-07-02T06:49:49Z,1,-0.32835820895522394,0.059444444444444446,-3977.1237271585996,-0.32835820895522394,-0.32835820895522394,,,,,,,,,0.059444444444444446,1,0.0,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 0.32835820895522394, ""roi_remaining"": 0.35835820895522397, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 1.9405555555555556}",0,6,paper,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",1,1,-0.32835820895522394,-3977.1237271585996,1,1,0,0,-0.32835820895522394,1.0,2026-07-02T06:46:15Z,2026-07-02T06:49:49Z,-0.32835820895522394,0.059444444444444446,-3977.1237271585996,
macro_economy,3,0,0,0.0,5.873902403145352,0.0,0.0,2026-06-30T21:33:40Z,2026-07-01T02:12:43Z,0,0.0,0.0,0.0,-1.9634340222575517,-0.06544780074191839,3,3,0,30.0,0.0,-1.9634340222575517,-0.06544780074191839,-3.155262722416579,448.0363825111111,3,0.0,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 1.9634340222575517, ""roi_remaining"": 0.09544780074191839, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,shadow,False,paper_quotes_unverified_by_snapshot,False,False,0.0,metadata/audit invalid: paper_quotes_unverified_by_snapshot,3,3,-0.12609759685464805,-19.521290751194396,3,0,0,3,0.0,0.0,,,0.0,0.0,0.0,paper_quotes_unverified_by_snapshot
macro_rates,3,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-24.066951566951566,-0.8022317188983855,3,3,0,30.0,0.0,-24.066951566951566,-0.8022317188983855,-19.484707758061994,889.3233269575001,3,0.0,"{""fills_remaining"": 2, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 24.066951566951566, ""roi_remaining"": 0.8322317188983855, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
near_miss_learning|ai_model_leader,7,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-2.5196383390038193,-0.035994833414340274,7,7,0,70.0,0.0,-2.5196383390038193,-0.035994833414340274,-2.3989380857344753,756.2261047375,7,0.0,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 2.5196383390038193, ""roi_remaining"": 0.06599483341434027, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",3,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
near_miss_learning|baseball_mlb_match,4,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-30.08513782324524,-0.752128445581131,4,4,0,40.0,0.0,-30.08513782324524,-0.752128445581131,-23.418696947632398,924.9574936283333,4,0.0,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 30.08513782324524, ""roi_remaining"": 0.782128445581131, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
near_miss_learning|basketball_nba_match,4,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-12.176242698992954,-0.30440606747482385,4,4,0,40.0,0.0,-12.176242698992954,-0.30440606747482385,-10.774192766605244,813.6938825191666,4,0.0,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 12.176242698992954, ""roi_remaining"": 0.3344060674748238, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
near_miss_learning|crypto,5,0,0,0.0,55.49545454545454,0.0,0.0,2026-07-01T13:19:07Z,2026-07-01T13:20:08Z,0,0.0,0.0,0.0,8.654804514072246,0.17309609028144493,5,5,0,50.0,0.0,8.654804514072246,0.17309609028144493,5.135321957947738,1213.4505491880554,5,5.135321957947738,"{""fills_remaining"": 0, ""monthly_run_rate_remaining_usdc"": 14.864678042052262, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",5,6,shadow,False,paper_quote_conflicts_excluded_from_edge,False,False,0.0,metadata/audit invalid: paper_quote_conflicts_excluded_from_edge,2,2,51.49545454545454,2188134.724292101,2,0,2,0,0.0,0.0,,,0.0,0.0,0.0,paper_quote_conflicts_excluded_from_edge
near_miss_learning|crypto_btc_updown_event,1,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-4.230769230769231,-0.4230769230769231,1,1,0,10.0,0.0,-4.230769230769231,-0.4230769230769231,-2.512142785505871,1212.5719380791666,1,0.0,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 4.230769230769231, ""roi_remaining"": 0.45307692307692304, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",1,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
near_miss_learning|crypto_eth_updown_event,4,0,0,6.0,0.0,0.0,0.0,2026-07-02T22:40:18Z,2026-07-02T22:40:47Z,3,-6.0,0.016666666666666666,-259200.0,-0.9999999999999982,-0.06249999999999989,1,1,0,10.0,0.0,5.000000000000002,0.5000000000000002,2.9687865240923044,1212.6166603033332,1,2.9687865240923044,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 17.031213475907695, ""pnl_remaining_usdc"": 0.9999999999999982, ""roi_remaining"": 0.09249999999999989, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",1,6,paper_plus_shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
near_miss_learning|equities_macro,4,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-10.886502963553156,-0.2721625740888289,4,4,0,40.0,0.0,-10.886502963553156,-0.2721625740888289,-9.310168036373609,841.9055491941667,4,0.0,"{""fills_remaining"": 1, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 10.886502963553156, ""roi_remaining"": 0.30216257408882885, ""settled_fills_remaining"": 0, ""tracking_hours_remaining"": 0.0}",2,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
near_miss_learning|esports_match,2,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,-0.5333333333333314,-0.02666666666666657,2,2,0,20.0,0.0,-0.5333333333333314,-0.02666666666666657,-0.3365941723981845,1140.8397158627777,2,0.0,"{""fills_remaining"": 3, ""monthly_run_rate_remaining_usdc"": 20.0, ""pnl_remaining_usdc"": 0.5333333333333314, ""roi_remaining"": 0.056666666666666574, ""settled_fills_remaining"": 1, ""tracking_hours_remaining"": 0.0}",1,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
near_miss_learning|exploratory_historical_rule|crypto_sol_updown_event|outcome=down,1,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,2.8000000000000007,0.2800000000000001,1,1,0,10.0,0.0,2.8000000000000007,0.2800000000000001,5.169344991449571,389.99138253138887,1,5.169344991449571,"{""fills_remaining"": 4, ""monthly_run_rate_remaining_usdc"": 14.83065500855043, ""pnl_remaining_usdc"": 0.0, ""roi_remaining"": 0.0, ""settled_fills_remaining"": 2, ""tracking_hours_remaining"": 0.0}",3,6,shadow,True,,False,False,0.0,"needs >= 5 evidence fills, >= 3 settled fills, P&L > 0.00, ROI >= 3.00%, evidence age >= 2.0h, and monthly run-rate >= 20.00",,,,,,,,,,,,,,,,
