recorded_at_utc,source,positions_scored_attributed,final_line_positions,mean_final_clv,positive_cohorts,total_pnl_usdc,decision_or_class_summary
2026-08-09T11:38:04Z,edge_attribution,109,,,near_miss_learning|worldcup,-53.456954,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-09T11:38:06Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-09T17:38:54Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-09T17:38:55Z,edge_attribution,108,,,near_miss_learning|worldcup,-48.321819,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-09T17:38:57Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-09T23:44:06Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-09T23:44:06Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-09T23:44:08Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-10T05:47:12Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-10T05:47:12Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-10T05:47:14Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-10T11:48:46Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-10T11:48:46Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-10T11:48:48Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-10T17:53:50Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-10T17:53:50Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-10T17:53:53Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-10T23:55:45Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-10T23:55:45Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-10T23:55:47Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-11T05:58:44Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-11T05:58:44Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-11T05:58:46Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-11T12:03:59Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-11T12:03:59Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-11T12:04:02Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-11T18:06:44Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-11T18:06:44Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-11T18:06:46Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-12T00:11:39Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-12T00:11:39Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-12T00:11:41Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-12T06:15:10Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-12T06:15:10Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-12T06:15:12Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-12T12:16:57Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-12T12:16:57Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-12T12:16:59Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-12T18:24:02Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-12T18:24:02Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-12T18:24:04Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-13T00:29:21Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-13T00:29:21Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-13T00:29:23Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-13T06:33:58Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-13T06:33:58Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-13T06:34:00Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-13T12:35:07Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-13T12:35:07Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-13T12:35:09Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-13T18:35:10Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-13T18:35:10Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-13T18:35:12Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-14T00:40:59Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=38
2026-08-14T00:40:59Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.798009,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-14T00:41:02Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-14T06:42:38Z,closing_line_value,121,90,0.008424,,,insufficient_clv_evidence=40
2026-08-14T06:42:38Z,edge_attribution,112,,,near_miss_learning|worldcup,-51.983782,insufficient_attribution_evidence=34|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-14T06:42:40Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-14T12:43:41Z,closing_line_value,121,90,0.008424,,,insufficient_clv_evidence=40
2026-08-14T12:43:41Z,edge_attribution,112,,,near_miss_learning|worldcup,-51.983782,insufficient_attribution_evidence=34|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-14T12:43:43Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-14T18:46:19Z,closing_line_value,121,90,0.008424,,,insufficient_clv_evidence=40
2026-08-14T18:46:20Z,edge_attribution,112,,,near_miss_learning|worldcup,-51.983782,insufficient_attribution_evidence=34|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-14T18:46:22Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-15T00:47:50Z,closing_line_value,121,90,0.008424,,,insufficient_clv_evidence=40
2026-08-15T00:47:50Z,edge_attribution,112,,,near_miss_learning|worldcup,-51.983782,insufficient_attribution_evidence=34|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-15T00:47:52Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-15T06:50:53Z,closing_line_value,118,90,0.008424,,,insufficient_clv_evidence=40
2026-08-15T06:50:53Z,edge_attribution,109,,,near_miss_learning|worldcup,-48.757511,insufficient_attribution_evidence=34|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-15T06:50:56Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-15T12:55:41Z,closing_line_value,118,90,0.008424,,,insufficient_clv_evidence=41
2026-08-15T12:55:41Z,edge_attribution,108,,,near_miss_learning|worldcup,-48.645151,insufficient_attribution_evidence=34|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-15T12:55:43Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-15T18:59:24Z,closing_line_value,118,90,0.008424,,,insufficient_clv_evidence=41
2026-08-15T18:59:24Z,edge_attribution,109,,,near_miss_learning|worldcup,-57.61951,insufficient_attribution_evidence=35|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-15T18:59:27Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-16T01:00:57Z,closing_line_value,118,90,0.008424,,,insufficient_clv_evidence=41
2026-08-16T01:00:57Z,edge_attribution,109,,,near_miss_learning|worldcup,-57.61951,insufficient_attribution_evidence=35|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-16T01:00:59Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-16T07:01:52Z,closing_line_value,118,90,0.008424,,,insufficient_clv_evidence=41
2026-08-16T07:01:52Z,edge_attribution,109,,,near_miss_learning|worldcup,-57.61951,insufficient_attribution_evidence=35|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-16T07:01:55Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-16T13:04:09Z,closing_line_value,118,90,0.008424,,,insufficient_clv_evidence=41
2026-08-16T13:04:09Z,edge_attribution,109,,,near_miss_learning|worldcup,-57.61951,insufficient_attribution_evidence=35|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-16T13:04:11Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-16T19:08:26Z,closing_line_value,117,90,0.008424,,,insufficient_clv_evidence=40
2026-08-16T19:08:26Z,edge_attribution,108,,,near_miss_learning|worldcup,-57.61951,insufficient_attribution_evidence=34|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-16T19:08:28Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-17T01:10:52Z,closing_line_value,116,90,0.008424,,,insufficient_clv_evidence=39
2026-08-17T01:10:52Z,edge_attribution,107,,,near_miss_learning|worldcup,-48.645151,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1
2026-08-17T01:10:54Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-17T07:15:55Z,closing_line_value,116,90,0.008424,,,insufficient_clv_evidence=39
2026-08-17T07:15:55Z,edge_attribution,116,,,near_miss_learning|worldcup,-49.837158,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-17T07:15:57Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-17T13:20:38Z,closing_line_value,116,90,0.008424,,,insufficient_clv_evidence=39
2026-08-17T13:20:38Z,edge_attribution,116,,,near_miss_learning|worldcup,-49.837158,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-17T13:20:41Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-17T19:20:49Z,closing_line_value,116,90,0.008424,,,insufficient_clv_evidence=39
2026-08-17T19:20:49Z,edge_attribution,116,,,near_miss_learning|worldcup,-49.837158,insufficient_attribution_evidence=33|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-17T19:20:51Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-18T01:22:44Z,closing_line_value,112,90,0.008424,,,insufficient_clv_evidence=37
2026-08-18T01:22:44Z,edge_attribution,112,,,near_miss_learning|worldcup,-52.196709,insufficient_attribution_evidence=31|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-18T01:22:46Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-18T07:23:34Z,closing_line_value,112,90,0.008424,,,insufficient_clv_evidence=37
2026-08-18T07:23:34Z,edge_attribution,112,,,near_miss_learning|worldcup,-52.196709,insufficient_attribution_evidence=31|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-18T07:23:37Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-18T13:29:45Z,closing_line_value,111,90,0.008424,,,insufficient_clv_evidence=37
2026-08-18T13:29:45Z,edge_attribution,111,,,near_miss_learning|worldcup,-51.974487,insufficient_attribution_evidence=31|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-18T13:29:47Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-18T19:32:09Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=36
2026-08-18T19:32:09Z,edge_attribution,109,,,near_miss_learning|worldcup,-43.312968,insufficient_attribution_evidence=30|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-18T19:32:11Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-19T01:34:19Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=36
2026-08-19T01:34:19Z,edge_attribution,109,,,near_miss_learning|worldcup,-43.312968,insufficient_attribution_evidence=30|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-19T01:34:21Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-19T07:36:42Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=36
2026-08-19T07:36:42Z,edge_attribution,109,,,near_miss_learning|worldcup,-43.312968,insufficient_attribution_evidence=30|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-19T07:36:44Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-19T13:39:07Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=36
2026-08-19T13:39:07Z,edge_attribution,109,,,near_miss_learning|worldcup,-43.312968,insufficient_attribution_evidence=30|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-19T13:39:09Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-19T19:41:38Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=36
2026-08-19T19:41:38Z,edge_attribution,109,,,near_miss_learning|worldcup,-43.312968,insufficient_attribution_evidence=30|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-19T19:41:40Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-20T01:43:46Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=36
2026-08-20T01:43:46Z,edge_attribution,109,,,near_miss_learning|worldcup,-43.312968,insufficient_attribution_evidence=30|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-20T01:43:48Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-20T07:49:54Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=36
2026-08-20T07:49:54Z,edge_attribution,109,,,near_miss_learning|worldcup,-43.312968,insufficient_attribution_evidence=30|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-20T07:49:56Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-20T13:52:05Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=36
2026-08-20T13:52:05Z,edge_attribution,109,,,near_miss_learning|worldcup,-43.312968,insufficient_attribution_evidence=30|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-20T13:52:07Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
2026-08-20T19:57:48Z,closing_line_value,109,90,0.008424,,,insufficient_clv_evidence=36
2026-08-20T19:57:48Z,edge_attribution,109,,,near_miss_learning|worldcup,-43.312968,insufficient_attribution_evidence=30|model_direction_not_confirmed=4|positive_edge_confirmed=1|settlement_adverse=1
2026-08-20T19:57:50Z,algo_sweep,9,,,,,no_sweep_candidate_reached_minimum_train_fills
