signal_cohort,family,paper_round_trips,paper_audited_round_trips,paper_quote_conflict_round_trips,paper_quote_unverified_round_trips,paper_realized_pnl_usdc,paper_audited_pnl_usdc,paper_unaudited_pnl_usdc,shadow_positions,shadow_closed_positions,shadow_realized_pnl_usdc,shadow_unrealized_pnl_usdc,shadow_total_pnl_usdc,entry_edge_usdc,spread_slippage_cost_usdc,clv_positions,clv_final_positions,mean_clv,mean_final_clv,line_movement_usdc,decision_pnl_usdc,closed_decision_pnl_usdc,residual_pnl_usdc,settlement_surprise_usdc,primary_drag,recommended_action
exploratory_inverse_historical_rule|crypto_btc_updown_5m|outcome=up,crypto,1,0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.194883,0.05,0,0,,,0.0,0.0,0.0,-0.144883,-0.144883,quote_quality,fix_quote_audit_before_promotion
low_price_tick_probe|crypto_btc_special|one_cent_return>=0.03,crypto_btc_special,1,0,0,0,-0.328358,0.0,-0.328358,0,0,0.0,0.0,0.0,0.00536,0.097015,0,0,,,0.0,0.0,0.0,0.091655,0.091655,spread_slippage,tighten_liquidity_spread_or_reduce_size
macro_economy,macro_economy,3,0,0,3,-0.126098,0.0,-0.126098,0,0,0.0,0.0,0.0,0.2032,0.189146,0,0,,,0.0,0.0,0.0,-0.014054,-0.014054,quote_quality,fix_quote_audit_before_promotion
near_miss_learning|worldcup,worldcup,0,0,0,0,0.0,0.0,0.0,1,0,0.0,-0.27027,-0.27027,0.223296,0.0,0,0,,,0.0,-0.27027,0.0,-0.493566,-0.493566,model_edge_failed_to_transfer,collect_more_or_retrain_before_promotion
near_miss_learning|unknown,unknown,0,0,0,0,0.0,0.0,0.0,3,2,-0.258537,-0.085288,-0.343824,0.84595,0.0,0,0,,,0.0,-0.343824,-0.258537,-1.189775,-1.189775,model_edge_failed_to_transfer,collect_more_or_retrain_before_promotion
crypto_eth_updown_event,crypto_eth_updown_event,2,0,0,0,0.186579,0.0,0.186579,2,2,-1.859389,0.0,-1.859389,1.391678,0.159984,0,0,,,0.0,-1.859389,-1.859389,-3.091084,-3.091084,model_edge_failed_to_transfer,collect_more_or_retrain_before_promotion
exploratory_crypto_updown_live_model|crypto_btc_updown_daily|outcome=up,crypto_btc_updown_event,1,0,0,0,0.030738,0.0,0.030738,2,2,-2.684458,0.0,-2.684458,0.346804,0.01332,1,0,-0.115,,-2.346939,-2.684458,-2.684458,-0.671004,-0.671004,adverse_line_movement,suppress_until_new_thesis_or_collect_independent_anchor
near_miss_learning|macro_rates,macro_rates,0,0,0,0,0.0,0.0,0.0,1,1,-3.913043,0.0,-3.913043,0.196633,0.0,1,0,-0.135,,-5.869565,-3.913043,-3.913043,1.759889,1.759889,adverse_line_movement,suppress_until_new_thesis_or_collect_independent_anchor
near_miss_learning|crypto_btc_updown_event,crypto_btc_updown_event,0,0,0,0,0.0,0.0,0.0,1,1,-4.230769,0.0,-4.230769,0.196633,0.0,0,0,,,0.0,-4.230769,-4.230769,-4.427402,-4.427402,model_edge_failed_to_transfer,collect_more_or_retrain_before_promotion
crypto_btc_updown_event,crypto_btc_updown_event,0,0,0,0,0.0,0.0,0.0,3,3,-4.988475,0.0,-4.988475,2.189875,0.0,0,0,,,0.0,-4.988475,-4.988475,-7.17835,-7.17835,model_edge_failed_to_transfer,collect_more_or_retrain_before_promotion
crypto_eth_updown_15m,crypto_eth_updown_15m,0,0,0,0,0.0,0.0,0.0,1,0,0.0,-9.999974,-9.999974,1.417176,0.0,0,0,,,0.0,-9.999974,0.0,-11.41715,-11.41715,model_edge_failed_to_transfer,collect_more_or_retrain_before_promotion
exploratory_crypto_updown_live_model|crypto_btc_updown_15m|outcome=up,crypto_btc_updown_15m,0,0,0,0,0.0,0.0,0.0,1,1,-10.0,0.0,-10.0,0.013912,0.0,0,0,,,0.0,-10.0,-10.0,-10.013912,-10.013912,model_edge_failed_to_transfer,collect_more_or_retrain_before_promotion
